key,message,comment,context
"Datos del Profesor","Datos del Profesor","",""
"DNI","DNI","",""
"Datos de la Falta","Datos de la Falta","",""
"Adjuntar justificante","Adjuntar justificante","",""
"Foto o PDF del justificante","Foto o PDF del justificante","",""
"Justificante","Justificante","",""
"Firmar digitalmente el documento","Firmar digitalmente el documento","",""
"Ver documento firmado","Ver documento firmado","",""
"Resolver expediente","Resolver expediente","",""
"Explicar los datos a subsanar","Explicar los datos a subsanar","",""
"Motivo del rechazo","Motivo del rechazo","",""
"Justificantes","Justificantes","",""
"Documento firmado por el usuario","Documento firmado por el usuario","",""
"Documento firmado por el usuario y el director","Documento firmado por el usuario y el director","",""
"Disconformidad de los datos presentados","Disconformidad de los datos presentados","",""
"Motivo disconformidad","Motivo disconformidad","",""
"Resolución","Resolución","",""
"Borrar","Borrar","",""
"Siguiente","Siguiente","",""
"Salir","Salir","",""
"Atrás","Atrás","",""
"Presentar documentación","Presentar documentación","",""
"Resolver el expediente","Resolver el expediente","",""
